1;28.173275;27.567080;27.936711
2;29.629623;28.600085;29.134653
3;37.845255;26.512926;33.884441
4;43.082805;40.984592;42.480540
5;33.699685;34.324476;33.904358
6;26.226550;33.003639;29.055821
7;49.501694;46.199195;48.424036
8;53.867147;50.357788;52.797628
9;51.278341;44.867725;49.061586
10;65.837870;49.183914;59.781886
11;66.603823;51.083725;61.631364
12;79.785825;64.305644;75.052216
13;58.414420;72.333421;63.440726
14;61.546393;64.662999;62.585261
15;85.005902;111.730965;93.104406
1;32.008841;28.764295;30.726722
2;28.146309;26.870719;27.733261
3;31.755013;31.956395;31.820419
4;28.604318;28.814427;28.689994
5;33.142051;31.592273;32.591768
6;38.972310;36.644385;38.249243
7;35.681874;37.744423;36.428320
8;69.797739;73.310008;70.789439
9;41.236527;43.073296;41.971235
10;57.932843;75.761833;63.390697
11;85.017904;57.117628;75.991344
12;71.708424;61.581841;68.592552
13;68.410928;70.855181;69.354748
14;60.153881;53.163046;57.344480
15;73.985073;83.536768;76.613980
1;41.325188;29.678869;37.221247
2;36.256914;28.512602;33.546405
3;35.648771;33.614435;34.959722
4;40.604498;30.359989;37.522816
5;34.187052;44.047186;37.632159
6;39.622944;43.240242;40.651717
7;50.498912;54.255472;51.795820
8;66.010010;62.894922;65.332817
9;49.350038;47.717818;48.718211
10;47.087354;52.484432;48.970056
11;67.515415;74.847508;70.174306
12;62.868207;65.603800;63.717184
13;71.737545;79.780487;74.861018
14;61.634596;92.493338;71.566145
15;60.040647;75.603939;66.525352
1;34.958693;34.411192;34.766212
2;33.848629;30.071167;32.552441
3;36.948723;37.632088;37.227131
4;42.521503;42.275166;42.458392
5;33.234712;29.999886;32.058412
6;51.653894;40.499761;48.159828
7;42.783533;46.603872;43.914354
8;50.546863;45.233356;48.804730
9;38.619029;38.919617;38.750715
10;36.370541;37.260858;36.782032
11;51.752930;70.889709;57.944241
12;52.229095;59.017131;54.491774
13;66.152654;80.512677;70.545132
14;73.375567;73.882290;73.571865
15;38.767122;32.493250;36.257573
1;30.812248;28.767350;30.047993
2;36.536046;33.637499;35.656712
3;29.921293;24.686355;28.250568
4;35.968874;37.189636;36.288326
5;42.526047;34.407014;40.477319
6;36.493980;36.992740;36.673534
7;35.037025;30.574631;33.295603
8;64.056284;45.434307;58.963094
9;61.832293;52.278863;59.465847
10;77.980463;89.643347;80.223325
11;65.775276;68.751587;66.536658
12;50.387456;68.693760;57.982624
